,time,id,x,y,z,velocity,angle of motion,facing angle
44709,1352853383.073,9362300,-8558,-9063,962.4889999999999,836.375,2.388,0.0
44724,1352853383.112,9362300,-8559,-9064,1139.205,839.064,2.384,2.114
44740,1352853383.154,9362300,-8594,-9037,1018.801,817.2130000000001,2.353,2.455
44756,1352853383.194,9362300,-8619,-9012,946.4830000000001,752.357,2.366,2.459
44772,1352853383.233,9362300,-8659,-8992,880.1080000000001,753.053,2.378,2.417
44788,1352853383.27,9362300,-8691,-8969,1082.9769999999999,826.6160000000001,2.3609999999999998,2.379
44804,1352853383.31,9362300,-8700,-8935,1378.6979999999999,870.686,2.338,2.329
44820,1352853383.35,9362300,-8707,-8892,1561.475,863.0039999999999,2.3040000000000003,2.318
44836,1352853383.392,9362300,-8714,-8853,1684.655,913.922,2.229,2.2969999999999997
44852,1352853383.432,9362300,-8736,-8811,1756.787,934.6560000000001,2.2640000000000002,2.286
44869,1352853383.472,9362300,-8760,-8764,1784.63,959.1610000000001,2.2119999999999997,2.291
44886,1352853383.514,9362300,-8778,-8740,1796.727,929.123,2.1630000000000003,2.234
44903,1352853383.554,9362300,-8788,-8689,1812.2220000000002,906.6569999999999,2.127,2.1790000000000003
44920,1352853383.593,9362300,-8802,-8652,1820.372,915.288,2.1069999999999998,2.168
44937,1352853383.6330001,9362300,-8817,-8606,1830.255,934.9910000000001,2.092,2.153
44954,1352853383.673,9362300,-8826,-8566,1835.7620000000002,939.159,2.033,2.157
44970,1352853383.714,9362300,-8845,-8518,1711.955,925.253,2.103,2.154
44986,1352853383.7519999,9362300,-8855,-8487,1667.349,891.303,2.0669999999999997,2.0980000000000003
45002,1352853383.7910001,9362300,-8856,-8454,1632.1170000000002,893.666,2.083,2.08
45018,1352853383.831,9362300,-8876,-8427,1618.9679999999998,904.471,2.02,2.0709999999999997
45034,1352853383.871,9362300,-8903,-8402,1588.72,930.315,2.101,2.122
45050,1352853383.909,9362300,-8923,-8371,1604.8370000000002,969.01,2.081,2.115
45066,1352853383.948,9362300,-8947,-8352,1629.244,903.049,2.124,2.11
45082,1352853383.9889998,9362300,-8967,-8317,1629.2979999999998,931.317,2.104,2.1109999999999998
45098,1352853384.03,9362300,-8987,-8290,1635.4560000000001,944.069,2.109,2.102
45114,1352853384.069,9362300,-8987,-8264,1638.604,944.41,2.103,2.0580000000000003
45130,1352853384.109,9362300,-9021,-8239,1627.408,973.965,2.114,2.059
45146,1352853384.151,9362300,-9056,-8203,1627.56,998.7330000000001,2.115,2.0580000000000003
45162,1352853384.191,9362300,-9100,-8180,1637.241,1051.664,2.039,2.042
45178,1352853384.231,9362300,-9136,-8141,1703.168,1149.6660000000002,2.0269999999999997,2.045
45194,1352853384.2710001,9362300,-9186,-8125,1758.636,1162.4589999999998,1.9569999999999999,1.973
45210,1352853384.307,9362300,-9240,-8087,1774.16,1216.997,2.008,1.984
45226,1352853384.347,9362300,-9285,-8051,1780.1979999999999,1259.951,1.98,1.9809999999999999
45242,1352853384.39,9362300,-9338,-8017,1788.237,1246.0639999999999,1.9680000000000002,1.986
45258,1352853384.43,9362300,-9354,-8002,1790.092,1241.556,2.017,1.974
45274,1352853384.47,9362300,-9370,-7978,1798.401,1201.5430000000001,2.0669999999999997,1.966
45290,1352853384.5110002,9362300,-9393,-7961,1790.1729999999998,1164.851,2.041,1.99
45306,1352853384.549,9362300,-9409,-7945,1787.045,1142.125,2.0380000000000003,1.984
45322,1352853384.588,9362300,-9418,-7929,1773.183,1039.3239999999998,2.0,1.98
45338,1352853384.628,9362300,-9454,-7904,1643.9479999999999,1022.058,2.019,2.005
45354,1352853384.669,9362300,-9477,-7874,1599.925,1057.028,1.963,1.999
45370,1352853384.71,9362300,-9509,-7831,1615.467,1095.7830000000001,1.963,2.006
45386,1352853384.747,9362300,-9524,-7817,1622.981,1006.2389999999999,1.963,1.989
45402,1352853384.788,9362300,-9545,-7803,1636.368,980.297,2.076,2.084
45418,1352853384.828,9362300,-9571,-7797,1645.4089999999999,969.0219999999999,2.151,2.112
45434,1352853384.8669999,9362300,-9600,-7788,1664.829,1026.98,2.241,2.186
45450,1352853384.911,9362300,-9615,-7770,1668.882,1011.5,2.193,2.188
45466,1352853384.95,9362300,-9638,-7754,1669.985,1049.327,2.24,2.238
45482,1352853384.99,9362300,-9659,-7729,1685.0179999999998,1027.1660000000002,2.2359999999999998,2.275
45498,1352853385.028,9362300,-9695,-7732,1717.086,969.934,2.258,2.296
45514,1352853385.071,9362300,-9737,-7709,1723.5410000000002,972.461,2.266,2.3609999999999998
45530,1352853385.112,9362300,-9819,-7703,1722.882,923.7539999999999,2.434,2.424
45546,1352853385.153,9362300,-9883,-7695,1720.1760000000002,886.07,2.476,2.513
45562,1352853385.194,9362300,-9951,-7697,1757.59,824.948,2.582,2.674
45578,1352853385.237,9362300,-9999,-7691,1756.4560000000001,792.7189999999999,2.668,2.736
45594,1352853385.277,9362300,-10024,-7683,1566.628,747.38,2.7289999999999996,2.7460000000000004
45610,1352853385.317,9362300,-10062,-7681,1577.0510000000002,717.975,2.853,2.8489999999999998
45626,1352853385.3569999,9362300,-10087,-7686,1537.539,717.7819999999999,2.931,2.886
45642,1352853385.398,9362300,-10112,-7668,1531.7779999999998,709.6360000000001,2.822,2.824
45657,1352853385.437,9362300,-10136,-7645,1561.59,682.8960000000001,2.7439999999999998,2.737
45673,1352853385.478,9362300,-10159,-7615,1567.114,696.701,2.641,2.695
45689,1352853385.5180001,9362300,-10182,-7588,1565.0520000000001,707.61,2.522,2.627
45705,1352853385.559,9362300,-10190,-7548,1554.829,726.938,2.476,2.569
45721,1352853385.599,9362300,-10215,-7521,1595.0610000000001,729.0980000000001,2.53,2.5669999999999997
45737,1352853385.64,9362300,-10229,-7511,1612.75,672.6469999999999,2.496,2.541
45753,1352853385.683,9362300,-10252,-7518,1634.719,673.9680000000001,2.477,2.5580000000000003
45769,1352853385.724,9362300,-10279,-7521,1616.1670000000001,615.999,2.62,2.6319999999999997
45785,1352853385.7610002,9362300,-10306,-7524,1633.92,614.191,2.641,2.68
45801,1352853385.799,9362300,-10341,-7541,1685.55,622.264,2.78,2.801
45817,1352853385.838,9362300,-10377,-7549,1731.059,631.799,2.803,2.8710000000000004
45833,1352853385.879,9362300,-10404,-7564,1748.521,671.9789999999999,2.9360000000000004,2.978
45849,1352853385.919,9362300,-10442,-7543,1737.1070000000002,684.618,2.958,2.99
45865,1352853385.958,9362300,-10459,-7537,1738.13,780.929,3.036,2.986
45881,1352853385.996,9362300,-10494,-7546,1750.12,808.078,3.094,3.085
